순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,이재인,2,2019,0,0,4,6,49,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,이재인,2,2019,0,0,5,6,49,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,유지태,2,2019,0,0,4,6,16,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,유지태,2,2019,0,0,5,6,16,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,정진영,2,2019,0,0,4,6,50,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,정진영,2,2019,0,0,5,6,50,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,진선규,2,2019,0,0,4,6,2,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,진선규,2,2019,0,0,5,6,2,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,이다윗,2,2019,0,0,4,6,51,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,이다윗,2,2019,0,0,5,6,51,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,배해선,2,2019,0,0,4,6,52,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,배해선,2,2019,0,0,5,6,52,3
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,박성웅,1,2019,5,0,6,7,53,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,박성웅,1,2019,5,0,0,7,53,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,진영,1,2019,5,0,6,7,54,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,진영,1,2019,5,0,0,7,54,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,라미란,1,2019,5,0,6,7,55,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,라미란,1,2019,5,0,0,7,55,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,이수민,1,2019,5,0,6,7,56,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,이수민,1,2019,5,0,0,7,56,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,이준혁,1,2019,5,0,6,7,42,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,이준혁,1,2019,5,0,0,7,42,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,김광규,1,2019,5,0,6,7,57,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,김광규,1,2019,5,0,0,7,57,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,민지아,1,2019,5,0,6,7,58,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,민지아,1,2019,5,0,0,7,58,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,윤경호,1,2019,5,0,6,7,59,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,윤경호,1,2019,5,0,0,7,59,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,김현목,1,2019,5,0,6,7,60,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,김현목,1,2019,5,0,0,7,60,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,권혁범,1,2019,5,0,6,7,61,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,권혁범,1,2019,5,0,0,7,61,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,이호수,1,2019,5,0,6,7,62,2
8,내안의 그놈,16294330567,16412866567,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,이호수,1,2019,5,0,0,7,62,2
